date,open,high,low,close,volume,tic,day,macd,rsi,cci,dx,atr
2025-05-30,52.92,52.92,52.34,52.44,3289850,vnm,4,-0.20640255541294295,43.37911182015231,-98.52847088931486,22.951774511422183,0.8125538758403174
2025-06-02,52.44,52.73,52.06,52.15,2650910,vnm,0,-0.2520570350282654,41.124839725466295,-120.52891933028896,35.44918045290157,0.8023714561374371
2025-06-03,52.25,53.49,52.25,53.01,4318030,vnm,1,-0.21634978076644984,49.50511365893703,-30.29206088029576,10.179378945138485,0.8407734949847633
2025-06-04,53.3,55.21,53.01,54.35,8429633,vnm,2,-0.07901390029618227,59.240369721488065,172.04947092095134,52.214858861725624,0.9378611024858519
2025-06-05,54.45,54.54,53.78,53.78,2800586,vnm,3,-0.015984205907265903,54.432903704302014,139.90514905149095,52.2148588617256,0.9251567380225766
2025-06-06,53.87,53.87,52.63,52.82,4131010,vnm,4,-0.043001007102205335,47.44888302301479,6.606606606605738,7.451865315983218,0.947645542449535
2025-06-09,52.92,53.78,52.82,52.82,3041347,vnm,0,-0.0636779766184361,47.448883023014794,18.61083416417279,7.451865315983211,0.9485280037031397
2025-06-10,53.01,53.59,52.63,52.82,3006169,vnm,1,-0.07915220656285271,47.4488830230148,-4.854728478605669,0.9234787966700954,0.9493474320100583
2025-06-11,52.82,53.11,52.63,52.73,1724703,vnm,2,-0.09755335872370097,46.746588529144375,-44.41484820544258,0.92347879667008,0.9158226154379111
2025-06-12,53.11,53.68,53.01,53.4,3287375,vnm,3,-0.057411203194760674,52.39542426276173,54.06896551724303,20.270998358146414,0.9182638571923463
2025-06-13,53.01,53.2,52.73,53.01,3550452,vnm,4,-0.056417648826560196,49.1286379807286,-19.39869281045822,8.285504046286508,0.9005307245357502
2025-06-16,52.92,54.06,52.92,53.78,4739919,vnm,0,0.0064282145539564794,55.0831654828393,80.3248624574271,32.22246986070092,0.9176356727831966
2025-06-17,53.87,54.16,53.59,53.68,3412338,vnm,1,0.04761596262069645,54.195938704811326,95.3702260327364,34.51554756590552,0.892804553298682
2025-06-18,53.78,54.26,53.49,53.49,4104359,vnm,2,0.0641862385975358,52.4667661565836,71.68506913359319,34.51554756590553,0.8840327994916329
2025-06-19,53.49,53.87,53.2,53.59,2633373,vnm,3,0.08441438942157475,53.31110404122789,35.28102392877092,18.974485975749865,0.8687447423850874
2025-06-20,53.78,54.16,53.4,54.06,4666374,vnm,4,0.13679354588575166,57.16256023325952,74.49541284403666,28.505299176097367,0.8609772607861524
2025-06-23,53.49,53.87,53.3,53.4,3026667,vnm,0,0.12362287307693265,50.8224382227839,7.893549842128492,22.759970899616373,0.8537645993014276
2025-06-24,53.68,53.97,53.59,53.87,2808803,vnm,1,0.14938803970163406,54.67755779751712,72.11067411854171,26.54909533111575,0.8334956993513256
2025-06-25,53.97,55.21,53.87,54.26,6276981,vnm,2,0.19898310711755585,57.64464697116021,181.3120635530773,56.84144355694838,0.8696745779690884
2025-06-26,54.26,54.45,53.78,53.87,3122709,vnm,3,0.20446091655033882,53.8482340433011,91.71509750742577,51.605214205108176,0.8554121081141537
2025-06-27,54.26,55.98,53.78,55.21,8906332,vnm,4,0.3133171955469436,62.891289559531174,208.0303030303041,70.75612882724566,0.9514541003917139
2025-06-30,55.5,56.07,55.31,55.4,4495276,vnm,0,0.4101895828457529,63.96932432313192,223.62010484119676,71.52104523935601,0.9449216646494485
2025-07-01,55.78,55.78,54.64,54.92,4022091,vnm,1,0.44312162893063345,59.28372941038507,125.56140454644061,40.05406687174344,0.9588558314602021
2025-07-02,55.02,55.4,54.73,55.12,3779271,vnm,2,0.4798276863597408,60.57938569348396,97.30835601572545,40.05406687174344,0.9382232720701879
2025-07-03,55.12,55.78,54.73,54.92,5300539,vnm,3,0.4871634557260336,58.572153165508375,86.20145247868679,47.34793110684035,0.9462073240651748
2025-07-04,54.92,55.31,54.73,55.21,2700639,vnm,4,0.5104930362183993,60.610178237683115,68.57073111192531,47.34793110684035,0.9200496580605199
2025-07-07,55.4,55.69,55.12,55.31,3769261,vnm,0,0.530930821091701,61.31686268808551,84.17317246273869,54.6880997703042,0.895046111056197
2025-07-08,55.4,56.55,55.31,56.36,7172064,vnm,1,0.6246535206808446,67.84093686836812,131.13695090439225,66.78119280009204,0.9196856745521826
2025-07-09,56.64,57.88,56.45,57.5,9648148,vnm,2,0.7819045984708595,73.13800644379748,211.9273043856787,77.49769774662528,0.962565269227027
2025-07-10,57.79,57.88,57.02,57.02,5254397,vnm,3,0.8579058178394234,68.05507910337245,175.08672075209913,77.49769774662528,0.9552391785679537
2025-07-11,57.6,58.08,57.12,57.12,6240382,vnm,4,0.9156514362297301,68.54553118777322,145.5543747786036,78.8628755173782,0.9627220943845282
2025-07-14,57.31,58.08,56.64,57.6,6092143,vnm,0,0.9887495539289262,70.8583165238121,116.08453423589992,53.13540881002058,0.9968133733570618
2025-07-15,57.88,58.46,57.41,57.41,6562134,vnm,1,1.0195956626228266,68.7048534258778,111.98023613963032,58.57791617695528,1.000612418117272
2025-07-16,57.31,57.5,56.93,57.41,4966353,vnm,2,1.0321435180084038,68.7048534258778,68.92822672633129,35.622214527015686,0.9698543882517525
2025-07-17,57.6,57.88,57.12,57.41,6363587,vnm,3,1.0302121395440054,68.7048534258778,69.57653725400094,43.14084181521519,0.9548647890909134
2025-07-18,57.41,58.36,57.31,57.5,5833240,vnm,4,1.02413812918536,69.25760159047775,74.86921139314107,51.41152425337565,0.9616601612987051
2025-07-21,57.6,58.08,57.31,57.31,5509591,vnm,0,0.9925515042127984,66.58388585958352,58.21117781190363,51.41152425337564,0.9479701497773688
2025-07-22,57.31,57.5,56.83,57.5,4741106,vnm,1,0.9716497153686205,67.91770779966939,32.43818568855472,26.846593582130364,0.9281151390789854
2025-07-23,57.69,58.94,57.5,58.94,9237999,vnm,2,1.0590725336204088,75.80134614231679,131.37809537988207,53.154785626551316,0.9646783434304862
2025-07-24,59.32,61.13,59.32,60.85,13435605,vnm,3,1.2678616643462135,82.08844353577304,306.0255457665484,71.27967409182925,1.0522013188997374
2025-07-25,60.94,60.94,60.27,60.37,5132723,vnm,4,1.378703727856795,76.69555169747534,213.07573163772773,71.27967409182926,1.024901224692613
2025-07-28,60.46,61.04,60.18,60.46,8472643,vnm,0,1.4570135641929198,77.00065098120228,152.98438934802567,71.93968980993127,1.013122565785998
2025-07-29,60.46,61.32,59.99,60.37,10723928,vnm,1,1.4945837942090634,75.93011540292953,118.24461753320381,73.87905558673845,1.0357566682298551
